149	-4.12	0	297.0201	1.73
150	-4.21	0	296.6229	1.78
151	-4.1	3.3717	297.1085	1.95
152	-2.54	27.3031	304.0594	2.21
153	-0.72	42.6063	312.3221	2.73
154	1.04	76.257	320.4716	3.17
155	2.12	96.8024	325.5507	3.43
156	2.5	119.9304	327.3520	3.63
157	2.34	84.4883	326.5927	3.64
158	1.49	58.1286	322.5806	2.88
159	-0.45	21.3458	313.5621	2.01
160	-1.58	0.0218	308.3971	1.99
161	-1.85	0	307.1724	1.69
162	-2.38	0	304.7791	1.5
163	-2.78	0	302.9822	1.47
164	-2.99	0	302.0419	1.36
165	-3.1	0	301.5503	1.13
166	-3.06	0	301.7290	0.9
167	-3.32	0	300.5689	0.92
168	-3.68	0	298.9680	1.07
169	-3.92	0	297.9044	0.83
170	-3.97	0	297.6831	0.65
171	-3.79	0	298.4802	0.54
172	-3.77	0	298.5688	0.59
173	-3.73	0	298.7462	0.94
174	-3.44	0	300.0345	0.99
175	-3.07	9.5846	301.6843	0.99
176	-2.21	39.9916	305.5453	0.86
177	-1.02	69.775	310.9487	0.88
178	-0.19	122.6038	314.7597	0.89
179	0.08	133.7142	316.0069	0.85
180	0.1	117.0188	316.0995	0.92
181	0.07	102.4635	315.9607	1.26
182	-0.12	58.1689	315.0827	1.52
183	-0.47	32.4857	313.4702	1.61
184	-0.59	0.1397	312.9187	1.88
185	-0.42	0	313.7001	2.36
186	-0.37	0	313.9302	2.48
187	-0.63	0	312.7351	2.58
188	-0.96	0	311.2230	2.77
189	-1.2	0	310.1268	2.76
190	-1.42	0	309.1245	2.66
191	-1.56	0	308.4879	2.72
192	-1.79	0	307.4443	2.99
193	-2.04	0	306.3128	3.08
194	-2.36	0	304.8692	2.9
195	-2.63	0	303.6551	2.8
196	-2.84	0	302.7133	2.72
197	-2.97	0	302.1314	2.59
198	-3.09	0	301.5950	2.63
199	-3.07	10.742	301.6843	2.83
200	-2.36	38.4117	304.8692	3.6
201	-1.72	78.9946	307.7616	4.29
202	-1.23	90.2161	309.9900	5.15
203	-0.98	115.5061	311.1316	5.46
204	-0.99	193.1904	311.0858	5.6
205	-0.96	126.3092	311.2230	5.68
206	-0.94	89.3377	311.3145	5.24
207	-1.3	46.1396	309.6709	4.66
208	-1.98	0.1817	306.5841	4.25
209	-2.53	0	304.1043	4.14
210	-3.17	0	301.2378	3.66
211	-3.72	0	298.7906	3.34
212	-4.04	0	297.3736	3.24
213	-4.04	0	297.3736	3.25
214	-4.02	0	297.4620	3.26
215	-4.08	0	297.1968	3.3
216	-4.12	0	297.0201	3.43
217	-4.32	0	296.1379	3.29
218	-4.7	0	294.4670	3.21
219	-5.03	0	293.0218	3.34
220	-5.45	0	291.1901	3.4
221	-5.78	0	289.7569	3.35
222	-6.03	0	288.6747	3.28
223	-6	4.4111	288.8044	3.15
224	-4.76	32.1145	294.2039	3.44
225	-3.15	76.0928	301.3270	4
226	-1.65	81.8171	308.0792	4.58
227	-0.74	127.7092	312.2304	4.91
228	-0.32	78.1298	314.1605	5.1
229	-0.37	76.0407	313.9302	5.05
230	-0.9	79.6054	311.4975	4.52
231	-2.36	42.4018	304.8692	3.88
232	-3.97	0.3603	297.6831	3.74
233	-4.88	0	293.6781	3.49
234	-5.44	0	291.2336	3.26
235	-5.84	0	289.4969	3
236	-6.19	0	287.9837	2.86
237	-6.39	0	287.1216	2.57
238	-6.74	0	285.6177	2.09
239	-7.09	0	284.1197	1.85
240	-7.37	0	282.9256	1.7
241	-7.4	0	282.7979	1.57
242	-7.4	0	282.7979	1.59
243	-7.4	0	282.7979	1.74
244	-7.47	0	282.5000	1.84
245	-7.56	0	282.1174	1.83
246	-7.64	0	281.7777	1.82
247	-7.49	13.6048	282.4150	1.85
248	-6.07	93.7432	288.5018	2.35
249	-4.35	59.3445	296.0057	2.9
250	-2.74	104.6596	303.1615	3.29
251	-1.66	162.5924	308.0338	3.57
252	-1.13	146.6284	310.4462	3.74
253	-1.09	169.3037	310.6289	3.69
254	-1.59	105.6505	308.3516	3.23
255	-3.36	30.6314	300.3907	2.23
256	-5.1	0.4344	292.7159	2.2
257	-5.47	0	291.1030	2.02
258	-5.81	0	289.6269	1.59
259	-6.12	0	288.2858	1.32
260	-6.22	0	287.8542	1.26
261	-6.07	0	288.5018	1.28
262	-5.86	0	289.4102	1.26
