Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
385200.00,10.28,4.63,0.00,1.62,436.64,289.82
388800.00,11.51,4.19,0.00,2.65,594.36,271.82
392400.00,12.52,4.73,0.00,2.17,628.18,291.64
396000.00,13.77,5.18,0.00,1.57,875.18,303.45
399600.00,14.72,5.90,0.00,1.64,556.45,346.55
403200.00,15.60,5.23,0.00,1.46,393.45,357.18
406800.00,15.74,5.66,0.00,2.65,465.00,355.73
410400.00,15.53,7.55,0.00,2.95,328.73,356.27
414000.00,14.55,8.30,0.00,3.13,281.64,357.82
417600.00,14.36,8.74,0.00,2.65,207.91,361.55
421200.00,13.81,9.14,0.00,2.55,146.82,356.00
424800.00,13.04,9.50,0.00,1.87,51.27,339.27
428400.00,12.16,9.59,0.00,0.38,1.36,346.45
432000.00,11.93,10.10,0.09,0.00,0.00,360.82
435600.00,11.90,10.29,0.09,0.10,0.00,362.73
439200.00,12.03,9.99,0.27,0.83,0.00,364.09
442800.00,11.57,9.87,0.45,1.11,0.00,374.82
446400.00,11.29,9.98,0.55,0.71,0.00,380.00
450000.00,11.35,10.06,1.00,0.00,0.00,381.91
453600.00,11.05,9.73,1.00,0.20,0.00,380.27
457200.00,10.93,9.23,1.00,0.51,0.00,379.73
460800.00,10.69,9.07,0.45,1.49,1.27,377.18
464400.00,10.40,8.71,0.64,2.25,109.00,376.73
468000.00,11.15,8.48,0.00,2.88,279.55,383.73
471600.00,12.11,8.02,0.00,3.26,442.82,391.36
475200.00,13.11,7.54,0.00,2.93,656.91,382.64
478800.00,14.12,7.60,0.00,3.01,815.27,321.45
482400.00,14.54,7.82,0.00,3.01,546.55,324.45
486000.00,15.29,8.28,0.00,3.69,976.91,293.09
489600.00,15.84,8.23,0.00,3.23,1007.55,308.91
493200.00,15.89,8.45,0.00,3.76,875.73,296.00
496800.00,15.58,7.67,0.00,3.89,656.45,293.91
500400.00,14.96,8.27,0.00,4.20,535.00,275.73
504000.00,13.98,7.94,0.00,4.70,488.36,289.82
507600.00,12.97,7.91,0.00,3.54,169.36,285.55
511200.00,12.46,7.83,0.00,2.63,50.82,254.91
514800.00,11.42,7.70,0.00,1.46,0.73,264.18
518400.00,11.52,7.92,0.55,1.36,0.00,323.55
522000.00,11.77,8.37,1.00,2.07,0.00,332.82
525600.00,11.28,7.90,1.00,1.79,0.00,294.73
529200.00,10.53,7.56,1.00,2.45,0.00,272.55
532800.00,9.89,7.15,1.00,2.35,0.00,278.27
536400.00,9.55,7.09,1.00,2.15,0.00,335.27
540000.00,9.31,6.88,1.00,2.45,0.00,321.91
543600.00,8.96,6.59,0.45,1.99,0.00,317.82
547200.00,8.91,6.52,0.00,1.69,9.00,312.55
550800.00,9.28,6.55,0.00,1.57,71.27,320.45
554400.00,10.01,6.84,0.00,1.57,174.91,287.09
558000.00,11.60,7.27,0.00,1.57,312.09,278.73
561600.00,13.83,7.78,0.00,2.90,635.91,280.27
565200.00,14.92,8.26,0.00,3.76,826.09,296.45
568800.00,15.51,8.62,0.00,3.33,712.45,322.64
572400.00,15.63,8.88,0.00,3.94,562.73,350.55
576000.00,16.29,9.55,0.00,4.19,723.18,345.64
579600.00,16.83,9.80,0.00,3.66,659.18,345.18
583200.00,18.14,10.02,0.00,3.43,718.45,330.09
586800.00,18.19,9.62,0.00,3.33,415.27,338.82
590400.00,17.85,9.65,0.00,3.71,270.18,326.73
594000.00,17.30,9.86,0.00,3.59,131.27,303.27
597600.00,16.83,10.10,0.00,2.98,41.45,302.27
601200.00,15.60,9.95,0.00,2.25,0.82,284.45
604800.00,14.76,9.87,0.09,2.15,0.00,306.64
608400.00,14.17,9.87,0.00,2.10,0.00,299.82
612000.00,13.34,9.60,0.00,1.79,0.00,278.36
615600.00,12.77,9.17,0.00,0.91,0.00,294.18
619200.00,12.10,9.05,0.00,0.00,0.00,318.91
622800.00,10.51,8.25,0.18,0.00,0.00,295.73
626400.00,10.33,8.55,0.73,0.00,0.00,351.82
630000.00,11.13,9.19,0.27,0.00,0.00,356.00
633600.00,11.56,9.36,0.00,0.00,7.18,352.18
637200.00,12.13,9.28,0.00,0.00,44.00,358.36
640800.00,12.49,9.08,0.00,0.58,101.82,362.00
644400.00,13.46,9.15,0.00,0.30,443.18,297.45
648000.00,15.53,9.96,0.00,0.00,676.73,281.45
651600.00,18.17,11.05,0.00,0.00,810.64,292.27
655200.00,19.91,11.08,0.00,1.97,907.36,299.36
658800.00,20.89,10.59,0.00,2.25,954.00,300.91
662400.00,21.94,9.68,0.00,2.95,949.36,301.45
666000.00,22.83,9.55,0.00,2.45,884.09,303.64
669600.00,23.18,10.69,0.00,2.55,767.00,303.82
673200.00,23.27,11.33,0.00,2.35,611.73,302.82
676800.00,22.80,12.25,0.00,2.35,432.09,303.82
680400.00,22.22,12.36,0.00,1.72,226.73,301.55
684000.00,20.96,12.34,0.00,1.19,52.73,297.55
687600.00,18.65,12.29,0.00,0.20,0.91,293.91
691200.00,16.73,11.84,0.00,0.00,0.00,290.73
694800.00,14.88,11.29,0.00,0.00,0.00,286.27
698400.00,13.00,10.44,0.00,0.00,0.00,282.45
702000.00,11.82,9.77,0.00,0.00,0.00,280.09
705600.00,10.45,8.65,0.00,0.00,0.00,276.09
