Temps(s),Température air (°C),Température point de rosée (°C),Nature des précipitations,Vitesse du vent (m/s),Rayonnement global (W/m2),Rayonnement atmosphérique (W/m2)
1663200.00,12.18,11.18,1.00,0.00,0.00,385.18
1666800.00,12.03,11.06,1.00,0.00,0.00,386.45
1670400.00,11.84,10.94,1.00,0.00,0.55,385.64
1674000.00,11.63,10.74,1.00,0.00,7.73,384.82
1677600.00,11.47,10.53,1.00,0.00,37.27,385.64
1681200.00,11.71,10.75,1.00,0.00,65.82,389.27
1684800.00,11.77,10.65,1.00,0.00,100.36,386.73
1688400.00,12.37,10.98,0.45,0.10,166.18,394.18
1692000.00,12.30,10.82,1.00,0.51,92.36,388.27
1695600.00,12.08,10.93,1.00,0.58,125.64,387.91
1699200.00,12.64,10.44,0.18,1.64,361.36,395.91
1702800.00,13.39,10.04,0.18,0.68,309.73,396.09
1706400.00,14.54,10.22,0.00,0.20,376.64,399.64
1710000.00,15.54,10.46,0.82,0.51,326.73,377.82
1713600.00,16.31,10.05,0.73,0.10,274.27,335.91
1717200.00,16.58,10.65,0.00,0.20,198.64,312.45
1720800.00,13.84,10.79,0.00,1.52,29.64,323.91
1724400.00,12.45,9.96,0.00,0.56,1.18,273.45
1728000.00,10.94,9.16,0.00,0.00,0.00,271.82
1731600.00,9.73,8.23,0.00,0.00,0.00,283.09
1735200.00,9.31,8.08,0.00,0.10,0.00,325.18
1738800.00,9.55,8.41,0.00,0.00,0.00,307.18
1742400.00,8.80,7.71,0.00,0.00,0.00,280.55
1746000.00,8.47,7.47,0.27,0.10,0.00,337.64
1749600.00,8.44,7.52,0.64,0.00,0.00,351.73
1753200.00,8.21,7.35,0.27,0.00,0.00,350.91
1756800.00,8.14,7.32,0.91,0.00,1.00,350.82
1760400.00,8.13,7.35,0.36,0.10,15.55,350.64
1764000.00,8.18,7.41,0.00,0.00,77.18,351.55
1767600.00,8.66,7.89,0.00,0.30,160.27,352.73
1771200.00,10.24,9.15,0.00,0.30,424.64,327.36
1774800.00,13.14,9.16,0.00,0.58,796.82,281.36
1778400.00,15.56,9.04,0.00,0.48,820.82,296.36
1782000.00,13.89,9.30,0.45,1.97,253.00,356.91
1785600.00,11.89,10.31,0.73,0.28,219.91,385.45
1789200.00,13.52,10.91,0.00,0.83,392.27,398.55
1792800.00,14.85,9.45,0.00,1.72,496.09,364.00
1796400.00,14.88,8.89,0.00,0.71,224.18,340.73
1800000.00,14.71,9.16,0.00,0.30,95.27,350.27
1803600.00,14.34,10.12,0.00,0.10,86.00,346.55
1807200.00,14.14,9.69,0.00,0.00,34.09,316.09
1810800.00,12.85,8.91,0.00,0.00,1.82,307.91
1814400.00,11.19,9.14,0.00,0.00,0.00,289.64
1818000.00,9.82,8.26,0.09,0.00,0.00,299.18
1821600.00,9.50,8.12,0.00,0.00,0.00,316.36
1825200.00,8.95,7.68,0.00,0.00,0.00,323.00
1828800.00,8.98,7.86,0.00,0.00,0.00,349.00
1832400.00,8.72,7.70,0.00,0.00,0.00,352.45
1836000.00,8.87,7.94,0.09,0.00,0.00,353.55
1839600.00,9.25,8.38,0.00,0.00,0.00,354.55
1843200.00,9.61,8.73,0.00,0.20,3.45,355.45
1846800.00,10.07,9.14,0.00,0.00,35.45,358.18
1850400.00,10.91,9.82,0.00,0.00,81.36,359.55
1854000.00,11.84,10.13,0.00,0.00,109.73,362.18
1857600.00,12.60,9.70,0.00,0.10,85.45,361.91
1861200.00,13.14,10.11,0.09,0.20,96.45,364.64
1864800.00,12.73,10.29,0.73,0.96,99.64,384.27
1868400.00,11.88,10.22,0.91,1.11,128.82,384.64
1872000.00,12.50,11.12,0.73,0.10,317.45,397.45
1875600.00,13.25,11.32,0.27,0.35,234.45,395.18
1879200.00,12.30,11.10,0.55,0.00,151.36,390.91
1882800.00,12.52,11.34,0.00,0.40,97.73,393.27
1886400.00,12.93,10.54,0.00,2.10,126.18,390.82
1890000.00,12.79,10.02,0.00,1.24,68.55,386.82
1893600.00,12.81,10.24,0.00,0.00,20.36,384.82
1897200.00,12.29,9.96,0.09,0.10,0.00,374.09
1900800.00,11.76,9.96,0.00,0.00,0.00,365.73
1904400.00,11.49,10.08,0.00,0.00,0.00,363.27
1908000.00,11.37,10.15,0.18,0.00,0.00,365.64
1911600.00,11.18,10.02,0.00,0.00,0.00,364.91
1915200.00,11.00,9.94,0.18,0.20,0.00,364.73
1918800.00,10.95,9.58,0.00,0.30,0.00,363.00
1922400.00,10.92,9.53,0.00,0.00,0.00,356.55
1926000.00,10.82,9.56,0.00,0.00,0.00,342.27
1929600.00,10.66,9.48,0.00,0.00,3.91,344.36
1933200.00,10.69,9.54,0.09,0.00,13.00,349.18
1936800.00,11.05,9.75,0.00,0.10,37.64,357.64
1940400.00,11.62,9.23,0.00,1.67,211.00,339.09
1944000.00,12.53,8.72,0.00,2.25,311.82,339.64
1947600.00,12.82,8.67,0.00,2.05,257.00,342.82
1951200.00,13.42,8.30,0.00,2.22,274.73,343.36
1954800.00,13.52,7.80,0.00,2.07,257.91,335.73
1958400.00,12.93,7.38,0.00,2.78,236.18,340.64
1962000.00,11.72,7.69,0.00,1.82,210.91,342.00
1965600.00,11.51,7.15,0.09,1.99,233.64,340.73
1969200.00,11.20,7.93,0.64,1.59,183.55,353.36
1972800.00,10.34,7.63,0.73,1.72,72.55,362.82
1976400.00,9.81,7.45,0.73,1.36,35.36,368.18
1980000.00,7.60,5.62,0.55,3.69,4.36,358.09
1983600.00,6.49,4.17,0.27,3.41,0.55,352.18
1987200.00,6.52,3.99,0.09,2.88,0.00,347.64
1990800.00,6.04,3.32,0.36,2.95,0.00,335.18
1994400.00,5.64,3.08,0.18,2.25,0.00,328.55
1998000.00,5.90,3.17,0.09,3.59,0.00,333.36
2001600.00,5.80,2.75,0.00,3.84,0.00,329.91
2005200.00,5.51,2.64,0.09,3.28,0.00,331.18
2008800.00,5.36,2.52,0.09,3.59,0.00,329.27
2012400.00,4.93,2.36,0.55,4.29,0.00,336.36
2016000.00,4.88,2.39,0.09,4.60,1.82,337.45
2019600.00,4.90,2.01,0.00,4.70,35.36,330.91
2023200.00,4.86,1.65,0.00,4.22,70.18,329.73
2026800.00,4.85,1.33,0.00,4.70,149.00,324.55
2030400.00,5.01,1.09,0.00,4.29,125.45,319.91
2034000.00,5.27,1.34,0.36,4.29,226.27,320.09
2037600.00,5.45,2.22,0.82,4.44,390.27,330.45
2041200.00,6.45,2.69,0.09,4.09,424.64,330.82
2044800.00,7.22,2.95,0.73,5.28,495.09,325.91
2048400.00,7.01,3.40,0.27,5.00,453.55,330.45
2052000.00,7.59,3.72,0.27,4.52,334.00,329.82
2055600.00,7.86,4.02,0.45,5.00,373.00,325.82
2059200.00,7.65,4.26,0.55,4.39,240.36,334.73
2062800.00,7.93,4.36,0.36,4.70,229.55,329.64
2066400.00,6.87,3.99,0.55,4.60,27.27,340.64
2070000.00,6.51,3.78,0.18,4.24,0.00,342.45
2073600.00,6.43,3.48,0.36,3.91,0.00,340.00
2077200.00,6.26,3.20,0.00,4.04,0.00,336.82
2080800.00,6.17,3.10,0.00,3.91,0.00,338.73
2084400.00,6.15,3.05,0.00,3.91,0.00,327.82
2088000.00,6.08,2.97,0.00,4.02,0.00,308.18
2091600.00,6.00,3.03,0.09,3.69,0.00,330.09
2095200.00,5.82,2.81,0.00,3.54,0.09,325.55
2098800.00,5.73,2.97,0.00,3.40,0.00,327.00
2102400.00,5.59,2.95,0.00,3.54,0.18,330.55
2106000.00,5.44,2.97,0.00,3.66,12.45,332.55
2109600.00,5.03,3.03,0.00,4.32,32.18,334.18
2113200.00,5.13,3.21,0.00,3.61,68.09,334.82
2116800.00,5.71,3.26,0.00,3.26,147.55,335.00
2120400.00,6.58,3.24,0.00,3.84,311.45,331.64
2124000.00,7.95,3.39,0.00,3.43,479.82,325.55
2127600.00,8.60,3.63,0.00,3.59,461.45,329.36
2131200.00,9.03,3.45,0.00,4.04,424.09,328.73
2134800.00,9.25,3.74,0.00,3.59,308.45,335.91
2138400.00,9.71,3.82,0.00,3.36,277.45,330.73
2142000.00,10.45,4.14,0.00,3.11,312.27,311.91
2145600.00,10.87,4.27,0.00,3.43,321.91,290.91
2149200.00,10.66,4.08,0.00,4.24,230.64,277.91
2152800.00,10.19,4.01,0.00,4.07,79.18,254.82
2156400.00,9.15,3.94,0.00,3.13,3.27,255.00
2160000.00,8.41,3.73,0.00,3.13,0.00,243.82
2163600.00,7.97,3.53,0.00,3.13,0.00,245.09
2167200.00,7.12,3.44,0.00,2.95,0.00,238.18
2170800.00,6.84,3.62,0.00,2.90,0.00,277.45
2174400.00,6.83,4.09,0.00,3.11,0.00,293.55
2178000.00,6.63,4.17,0.00,3.51,0.27,264.00
2181600.00,6.66,4.34,0.00,3.21,0.27,285.00
2185200.00,6.50,4.07,0.00,3.13,0.00,294.45
2188800.00,6.25,3.90,0.00,2.63,7.73,315.09
2192400.00,6.36,3.89,0.00,1.99,56.55,320.27
2196000.00,6.77,3.95,0.00,2.17,106.27,332.73
2199600.00,7.61,4.20,0.00,2.55,243.64,328.18
2203200.00,8.65,4.41,0.00,3.13,375.27,294.00
2206800.00,11.27,4.24,0.00,2.83,748.45,284.64
2210400.00,12.44,3.92,0.00,3.08,881.64,280.91
2214000.00,13.45,4.37,0.00,2.75,918.18,280.18
2217600.00,14.18,4.71,0.00,3.36,942.36,273.55
2221200.00,14.97,5.03,0.00,3.81,940.36,267.64
2224800.00,15.13,5.10,0.00,4.09,810.91,265.91
2228400.00,15.34,5.29,0.00,4.12,641.73,264.09
2232000.00,15.16,5.10,0.00,3.91,458.09,260.64
2235600.00,14.54,5.03,0.00,3.74,253.00,256.73
2239200.00,13.46,5.44,0.00,3.13,64.00,252.45
2242800.00,12.30,5.89,0.00,2.55,5.09,251.00
2246400.00,11.04,6.01,0.00,1.74,0.00,248.00
2250000.00,9.49,5.71,0.00,0.71,0.00,246.09
2253600.00,8.25,5.32,0.00,1.26,0.00,244.82
2257200.00,7.57,5.15,0.00,1.11,0.00,242.27
2260800.00,7.61,5.36,0.00,0.91,0.00,240.27
2264400.00,7.16,5.28,0.00,0.71,0.00,238.36
2268000.00,6.91,5.13,0.00,0.91,0.00,238.09
2271600.00,6.15,4.43,0.00,0.20,0.00,236.45
2275200.00,5.69,4.05,0.00,0.00,10.91,235.91
2278800.00,8.02,5.38,0.00,0.78,140.55,239.09
2282400.00,10.80,5.77,0.00,1.89,350.36,246.00
2286000.00,12.58,5.32,0.00,2.73,515.64,249.91
2289600.00,14.19,4.26,0.00,2.85,686.82,256.27
2293200.00,15.37,4.43,0.00,2.70,841.64,263.36
2296800.00,16.57,5.45,0.00,2.65,941.64,270.00
2300400.00,17.43,5.99,0.00,2.73,980.27,275.91
2304000.00,18.17,6.67,0.00,2.63,976.09,280.55
2307600.00,18.66,7.23,0.00,3.14,924.32,284.64
2311200.00,19.00,7.52,0.00,3.26,786.09,282.55
2314800.00,19.26,7.09,0.00,3.18,641.27,279.36
2318400.00,19.05,7.31,0.00,3.36,456.64,276.73
2322000.00,18.33,7.51,0.00,2.95,254.00,271.36
2325600.00,17.05,7.39,0.00,2.45,81.27,265.09
2329200.00,15.16,7.41,0.00,1.72,5.27,261.00
2332800.00,13.72,7.35,0.00,1.09,0.00,258.73
2336400.00,11.29,6.94,0.00,0.00,0.00,253.09
2340000.00,8.62,5.91,0.00,0.00,0.00,247.27
2343600.00,6.86,4.89,0.00,0.00,0.00,244.82
2347200.00,5.73,3.96,0.00,0.00,0.00,242.73
2350800.00,4.54,2.86,0.00,0.00,0.00,240.09
2354400.00,3.56,1.94,0.00,0.00,0.00,240.18
2358000.00,2.89,1.37,0.00,0.00,0.00,262.82
2361600.00,3.18,1.85,0.00,0.00,10.55,305.45
2365200.00,4.25,3.06,0.00,0.00,77.45,315.27
2368800.00,6.31,5.24,0.00,0.00,269.09,269.91
2372400.00,10.39,8.19,0.00,0.10,510.27,256.27
2376000.00,15.81,9.03,0.00,0.81,676.18,272.45
2379600.00,18.32,8.08,0.00,2.05,826.18,280.36
2383200.00,19.18,8.48,0.00,2.07,925.09,285.82
2386800.00,20.23,9.01,0.00,1.89,968.73,291.73
2390400.00,21.33,9.60,0.00,1.82,962.00,297.00
2394000.00,22.10,9.42,0.00,1.87,897.36,298.82
2397600.00,22.63,8.59,0.00,1.79,789.64,295.91
2401200.00,22.64,9.55,0.00,2.45,630.00,296.18
2404800.00,22.39,10.24,0.00,2.25,457.00,291.45
2408400.00,21.47,10.72,0.00,2.45,255.82,287.36
2412000.00,20.23,10.09,0.00,1.41,73.36,283.09
2415600.00,17.79,10.30,0.00,0.61,2.64,280.00
2419200.00,16.23,9.97,0.00,0.38,0.00,275.64
2422800.00,14.98,9.19,0.00,0.10,0.00,273.55
2426400.00,14.33,9.01,0.00,0.00,0.00,273.82
2430000.00,11.86,8.46,0.00,0.00,0.00,269.18
2433600.00,10.12,7.69,0.09,0.00,0.00,264.82
2437200.00,8.58,6.53,0.00,0.00,0.00,259.27
2440800.00,7.27,5.50,0.00,0.00,0.00,256.09
2444400.00,6.20,4.58,0.00,0.00,0.00,256.91
2448000.00,5.75,4.27,0.00,0.00,11.36,286.09
2451600.00,7.15,5.85,0.00,0.00,126.55,262.82
2455200.00,10.55,8.53,0.00,0.00,276.91,264.64
2458800.00,14.06,10.04,0.00,0.00,451.64,276.91
2462400.00,17.91,11.15,0.00,0.73,607.09,296.36
2466000.00,20.26,9.40,0.00,2.07,811.36,293.64
2469600.00,21.48,8.28,0.00,1.64,920.91,295.00
2473200.00,22.25,7.83,0.00,2.25,964.36,298.27
2476800.00,23.24,8.58,0.00,2.07,958.18,304.18
2480400.00,24.08,8.87,0.00,1.54,892.64,307.45
2484000.00,24.44,9.19,0.00,1.46,765.36,308.18
2487600.00,24.56,9.51,0.00,1.87,617.91,307.09
2491200.00,24.53,8.93,0.00,1.87,459.00,298.18
2494800.00,23.38,10.28,0.00,1.94,249.45,293.73
2498400.00,21.34,10.63,0.00,1.57,74.36,288.55
2502000.00,19.07,11.31,0.00,0.30,4.18,293.73
2505600.00,17.91,11.27,0.00,0.10,0.00,299.91
2509200.00,17.14,11.05,0.00,0.10,0.00,293.82
2512800.00,14.65,10.61,0.00,0.00,0.00,285.09
2516400.00,12.81,10.10,0.00,0.30,0.00,280.91
2520000.00,11.92,9.37,0.00,0.30,0.00,276.55
2523600.00,10.26,8.32,0.00,0.00,0.00,271.27
2527200.00,9.01,7.39,0.00,0.10,0.00,268.64
2530800.00,8.15,6.68,0.00,0.00,0.00,265.91
2534400.00,7.54,6.15,0.00,0.00,12.27,284.36
2538000.00,8.54,7.37,0.00,0.00,82.73,315.64
2541600.00,10.90,9.74,0.00,0.20,277.27,286.09
2545200.00,15.47,11.78,0.00,0.00,487.09,281.91
2548800.00,19.04,12.61,0.00,0.10,651.64,295.91
2552400.00,21.84,11.67,0.00,0.40,799.91,304.45
2556000.00,23.21,11.01,0.00,0.71,912.82,312.82
2559600.00,24.11,10.30,0.64,1.39,885.82,314.91
2563200.00,25.02,8.96,0.18,0.91,951.45,316.91
2566800.00,25.68,8.40,0.00,0.68,889.55,319.64
2570400.00,26.13,8.62,0.00,1.06,774.09,323.64
2574000.00,26.23,9.21,0.00,1.34,591.45,326.91
2577600.00,25.53,10.45,0.00,1.39,335.73,327.45
2581200.00,24.24,12.01,0.00,1.39,167.91,316.27
2584800.00,21.93,11.70,0.00,1.39,51.82,311.00
2588400.00,19.99,10.80,0.00,0.10,0.27,300.73
2592000.00,18.80,10.67,0.00,0.30,0.00,300.82
2595600.00,17.84,10.75,0.00,0.00,0.00,300.91
2599200.00,15.82,10.59,0.18,0.20,0.00,297.27
2602800.00,13.76,10.42,0.18,0.38,0.00,296.00
2606400.00,12.45,9.83,0.00,0.00,0.00,289.09
2610000.00,11.13,9.04,0.00,0.00,0.00,285.45
2613600.00,10.13,8.42,0.00,0.00,0.00,282.27
2617200.00,9.24,7.63,0.00,0.00,0.00,280.27
2620800.00,8.88,7.40,0.00,0.00,7.45,279.09
2624400.00,10.44,8.79,0.00,0.00,110.82,279.73
2628000.00,13.52,10.72,0.00,0.00,290.36,286.18
2631600.00,16.68,11.53,0.00,0.00,471.55,297.09
2635200.00,20.30,13.00,0.00,0.00,631.36,308.27
2638800.00,22.89,13.13,0.00,0.30,771.09,319.82
2642400.00,24.82,12.79,0.00,0.58,889.09,328.09
2646000.00,25.90,12.07,0.00,1.14,859.36,341.18
2649600.00,25.66,11.98,0.00,1.01,476.09,360.18
2653200.00,25.53,13.11,0.00,1.72,376.27,374.18
2656800.00,23.87,13.15,0.00,2.83,557.55,383.73
2660400.00,22.37,12.61,0.00,2.90,570.00,361.64
2664000.00,21.12,13.09,0.00,0.56,204.09,350.18
2667600.00,21.28,13.28,0.00,0.28,186.45,349.55
2671200.00,21.83,14.15,0.00,0.10,71.55,336.18
2674800.00,20.74,13.74,0.00,0.00,12.55,344.18
2678400.00,18.57,13.46,0.00,0.10,0.00,322.55
2682000.00,16.74,12.47,0.00,0.00,0.00,312.64
2685600.00,14.81,11.86,0.00,0.00,0.00,299.91
2689200.00,13.09,11.12,0.00,0.00,0.00,293.91
2692800.00,11.99,10.28,0.00,0.00,0.00,289.82
2696400.00,10.96,9.38,0.00,0.00,0.00,287.09
2700000.00,10.02,8.54,0.00,0.00,0.00,286.09
2703600.00,9.66,8.32,0.00,0.00,0.00,312.09
2707200.00,9.79,8.62,0.00,0.00,12.45,306.64
2710800.00,10.98,9.81,0.00,0.00,118.09,284.36
2714400.00,13.01,11.40,0.00,0.00,214.91,321.36
2718000.00,15.25,13.17,0.00,0.10,451.64,305.00
2721600.00,19.14,14.38,0.00,0.00,608.00,311.73
2725200.00,22.92,14.51,0.00,0.20,767.55,325.64
2728800.00,24.70,12.38,0.00,1.82,869.45,331.18
2732400.00,24.79,11.36,0.00,1.46,493.27,332.00
2736000.00,23.38,12.12,0.00,0.30,131.64,342.91
2739600.00,22.34,13.78,0.00,0.38,231.45,343.55
2743200.00,21.87,14.85,0.00,0.00,113.00,363.00
2746800.00,20.52,14.15,0.00,0.81,52.73,376.18
2750400.00,19.56,14.00,0.09,0.00,22.82,371.82
2754000.00,18.74,15.22,0.00,0.00,40.00,360.91
2757600.00,18.09,15.31,0.00,0.00,13.50,349.14
2761200.00,17.43,15.21,0.00,0.00,0.00,356.36
2764800.00,16.65,14.93,0.00,0.00,0.00,358.91
2768400.00,15.97,14.53,0.00,0.00,0.00,352.00
2772000.00,15.53,14.19,0.00,0.00,0.00,345.82
2775600.00,14.68,13.43,0.00,0.00,0.00,312.91
2779200.00,13.55,12.36,0.00,0.00,0.00,310.45
2782800.00,12.84,11.80,0.00,0.00,0.00,351.64
2786400.00,12.77,11.85,0.00,0.00,0.00,365.36
2790000.00,12.79,11.95,0.00,0.00,0.00,365.55
2793600.00,12.87,12.10,0.00,0.00,2.82,365.09
2797200.00,13.21,12.48,0.00,0.00,47.27,368.00
2800800.00,13.78,13.08,0.00,0.00,123.64,374.18
2804400.00,15.31,14.61,0.00,0.00,343.45,349.91
2808000.00,21.04,16.79,0.00,0.00,572.36,318.91
2811600.00,22.06,15.02,0.00,1.59,798.45,331.00
2815200.00,21.41,14.25,0.00,1.39,251.18,349.18
2818800.00,20.70,14.53,0.00,0.48,85.09,358.18
2822400.00,19.29,14.98,0.00,1.49,100.00,365.27
2826000.00,20.60,14.99,0.00,0.58,570.45,345.00
2829600.00,22.22,13.33,0.00,1.77,372.91,338.27
2833200.00,21.74,13.65,0.00,1.89,255.27,346.18
2836800.00,21.60,13.45,0.00,1.72,212.18,346.00
2840400.00,21.03,13.94,0.00,0.91,113.73,326.36
2844000.00,19.75,14.53,0.00,0.40,34.55,319.73
2847600.00,18.81,14.52,0.00,0.00,6.64,313.64
2851200.00,16.87,13.65,0.00,0.00,0.00,309.73
2854800.00,15.06,12.74,0.00,0.00,0.00,308.00
2858400.00,13.69,11.88,0.00,0.00,0.00,302.45
2862000.00,13.09,11.57,0.00,0.10,0.00,298.64
2865600.00,12.33,10.96,0.00,0.00,0.00,294.82
2869200.00,11.36,10.08,0.00,0.00,0.00,292.64
2872800.00,10.60,9.39,0.00,0.00,0.00,295.45
2876400.00,9.98,8.90,0.00,0.00,0.00,298.55
2880000.00,9.71,8.70,0.00,0.00,9.18,291.82
2883600.00,11.05,10.11,0.00,0.00,117.18,288.55
2887200.00,14.93,13.31,0.00,0.00,280.18,297.45
2890800.00,19.18,14.52,0.00,1.29,445.82,308.27
2894400.00,20.93,14.10,0.00,2.20,600.45,323.45
2898000.00,22.13,13.72,0.00,2.75,808.45,335.55
2901600.00,22.70,13.48,0.00,2.32,839.27,344.00
2905200.00,23.27,13.50,0.00,2.45,889.00,334.91
2908800.00,24.06,13.62,0.00,1.97,890.55,332.45
2912400.00,24.84,13.44,0.00,1.79,806.45,334.91
2916000.00,24.85,13.14,0.00,1.99,665.27,332.55
2919600.00,24.92,13.06,0.00,1.99,579.73,327.82
2923200.00,24.73,13.38,0.00,2.45,429.82,322.91
2926800.00,24.15,13.48,0.00,1.87,237.55,316.00
2930400.00,23.11,13.18,0.00,1.36,70.18,312.09
2934000.00,20.70,13.34,0.00,0.40,2.64,309.09
2937600.00,19.31,13.10,0.00,0.00,0.00,305.73
2941200.00,18.00,12.27,0.00,0.20,0.00,304.27
2944800.00,15.60,11.62,0.00,0.00,0.00,298.73
2948400.00,14.07,10.95,0.00,0.10,0.00,295.55
2952000.00,12.71,10.28,0.00,0.00,0.00,290.73
2955600.00,11.47,9.47,0.00,0.00,0.00,286.91
2959200.00,10.46,8.71,0.00,0.00,0.00,283.73
2962800.00,9.63,8.00,0.00,0.00,0.00,281.36
2966400.00,9.32,7.78,0.00,0.00,9.91,281.45
2970000.00,10.92,9.04,0.00,0.00,123.91,283.82
2973600.00,14.29,10.99,0.00,0.00,296.36,289.82
2977200.00,17.82,12.34,0.00,0.00,469.73,299.09
2980800.00,20.78,13.50,0.00,0.00,627.45,310.00
2984400.00,23.36,13.72,0.00,0.20,761.91,319.91
2988000.00,24.87,12.45,0.00,0.51,863.09,324.27
2991600.00,26.26,11.89,0.00,0.40,916.18,328.18
2995200.00,26.95,12.09,0.00,0.58,934.27,341.36
2998800.00,27.18,13.10,0.00,0.76,629.09,353.91
3002400.00,27.49,13.50,0.00,1.31,741.91,342.36
3006000.00,27.34,12.49,0.00,1.39,615.45,338.91
3009600.00,27.61,13.19,0.00,0.38,441.64,357.18
3013200.00,23.97,14.65,0.00,2.73,240.82,371.09
3016800.00,23.20,14.79,0.00,1.36,112.09,388.00
3020400.00,22.26,14.73,0.00,0.30,3.36,389.55
3024000.00,21.15,14.84,0.00,0.10,0.00,357.64
3027600.00,19.13,14.76,0.00,0.00,0.00,317.27
3031200.00,16.76,14.08,0.00,0.00,0.00,312.64
3034800.00,15.35,13.25,0.00,0.00,0.00,305.91
3038400.00,14.17,12.35,0.00,0.00,0.00,299.82
3042000.00,13.20,11.55,0.00,0.00,0.00,295.82
3045600.00,12.13,10.60,0.00,0.00,0.00,288.64
3049200.00,11.13,9.64,0.00,0.00,0.00,283.82
3052800.00,10.39,9.00,0.00,0.00,6.27,284.55
3056400.00,11.21,9.88,0.00,0.00,103.64,284.45
3060000.00,14.35,12.38,0.00,0.00,272.18,287.36
3063600.00,18.67,14.25,0.00,0.00,480.91,294.36
3067200.00,22.74,14.09,0.00,0.96,636.91,309.36
3070800.00,24.79,14.14,0.00,0.58,774.36,319.27
3074400.00,26.36,12.37,0.00,0.93,871.09,323.18
3078000.00,27.32,10.84,0.00,0.83,918.45,325.82
3081600.00,28.00,10.48,0.00,1.04,916.82,329.18
3085200.00,28.53,10.71,0.00,0.96,862.09,333.64
3088800.00,28.75,11.57,0.00,1.01,607.73,339.27
3092400.00,29.11,11.33,0.00,1.34,599.45,342.55
3096000.00,28.72,11.64,0.00,1.44,440.45,343.73
3099600.00,27.61,13.68,0.00,1.64,256.91,345.91
3103200.00,26.21,14.89,0.00,0.93,101.91,340.55
3106800.00,24.10,14.62,0.00,0.00,8.91,330.36
3110400.00,21.15,14.91,0.00,0.00,0.00,322.36
3114000.00,18.51,14.59,0.00,0.00,0.00,319.73
3117600.00,16.97,13.94,0.00,0.00,0.00,334.00
3121200.00,16.18,13.55,0.00,0.00,0.00,317.82
3124800.00,15.14,12.89,0.00,0.00,0.00,311.82
3128400.00,14.68,12.72,0.00,0.00,0.00,317.36
3132000.00,13.64,11.77,0.00,0.00,0.00,287.91
3135600.00,12.26,10.66,0.09,0.00,0.00,282.18
3139200.00,11.51,10.11,0.00,0.00,9.45,281.45
3142800.00,12.74,11.13,0.00,0.00,122.64,281.64
3146400.00,15.44,12.66,0.00,0.00,296.18,287.73
3150000.00,18.34,13.11,0.00,0.00,471.55,295.18
3153600.00,21.83,12.83,0.00,0.00,632.45,305.00
3157200.00,24.37,12.14,0.00,0.00,762.45,315.09
3160800.00,25.81,10.89,0.00,0.61,860.82,321.91
3164400.00,26.93,11.84,0.00,0.78,905.27,332.73
3168000.00,27.41,12.12,0.00,1.24,923.45,341.55
3171600.00,27.93,12.41,0.00,0.76,870.09,345.09
3175200.00,28.48,13.52,0.00,0.76,739.36,352.18
3178800.00,27.71,14.92,0.00,2.58,643.55,365.36
3182400.00,26.36,15.78,0.00,2.55,347.82,368.36
3186000.00,23.73,15.55,0.00,3.21,94.73,375.09
3189600.00,18.62,14.90,0.64,1.84,16.82,387.55
3193200.00,17.44,15.85,0.27,0.20,15.36,373.18
3196800.00,18.20,16.30,0.00,0.20,0.00,350.73
3200400.00,18.07,16.13,0.00,0.10,0.00,342.91
3204000.00,18.22,16.03,0.18,0.91,0.00,341.64
3207600.00,17.88,15.52,0.00,0.38,0.00,367.00
3211200.00,17.33,14.84,0.00,0.00,0.00,321.91
3214800.00,16.51,14.73,0.00,0.00,0.00,357.00
3218400.00,16.58,15.17,0.09,0.00,0.00,369.64
3222000.00,17.16,15.61,0.09,0.20,0.00,340.09
3225600.00,17.03,15.35,0.00,0.00,2.55,372.18
3229200.00,17.66,15.73,0.00,0.10,50.27,378.27
3232800.00,19.33,15.67,0.00,1.19,331.82,357.73
3236400.00,20.35,15.19,0.00,1.16,415.64,338.64
3240000.00,20.81,15.19,0.00,1.57,379.36,385.27
3243600.00,21.98,15.32,0.00,1.87,652.82,352.18
3247200.00,22.64,14.71,0.00,1.97,753.09,353.82
3250800.00,23.34,14.68,0.00,2.27,794.09,351.55
3254400.00,24.30,14.35,0.00,2.05,958.91,340.55
3258000.00,24.97,14.46,0.00,2.17,770.27,346.45
3261600.00,25.31,14.30,0.00,2.27,743.00,336.55
3265200.00,25.35,14.15,0.00,2.35,577.27,335.18
3268800.00,25.11,14.42,0.09,2.55,421.82,330.82
3272400.00,24.01,14.66,0.00,2.55,171.00,331.45
3276000.00,22.14,15.32,0.00,1.31,5.18,358.64
3279600.00,21.00,15.45,0.00,0.71,0.00,361.64
3283200.00,19.59,15.79,0.09,0.98,0.00,358.64
3286800.00,18.80,15.67,0.09,1.54,0.00,384.00
3290400.00,18.33,15.17,0.00,0.40,0.00,323.00
3294000.00,16.78,14.58,0.00,0.10,0.00,300.64
3297600.00,15.37,13.81,0.00,0.10,0.00,292.55
3301200.00,14.33,12.96,0.00,0.00,0.00,290.55
3304800.00,14.03,12.80,0.00,0.20,0.00,347.73
3308400.00,14.81,13.47,0.00,0.40,0.00,347.00
3312000.00,13.68,13.62,0.00,0.00,8.45,358.64
3315600.00,14.56,14.03,0.00,0.00,103.09,323.82
3319200.00,17.80,13.94,0.00,0.10,296.00,304.36
3322800.00,20.01,12.97,0.00,0.83,489.73,308.45
3326400.00,21.30,12.64,0.00,1.57,599.09,321.82
3330000.00,21.87,13.31,0.00,1.31,505.45,362.55
